Period - Custom May 31 2017 - Apr 8 2021,Per Period (kWh),Cumulative (kWh),
2017-05-31,13.614,13.614,
2017-06-01,62.600,76.214,
2017-06-02,55.582,131.796,
2017-06-03,52.772,184.568,
2017-06-04,56.384,240.952,
2017-06-05,16.666,257.618,
2017-06-06,44.307,301.925,
2017-06-07,26.311,328.236,
2017-06-08,51.861,380.097,
2017-06-09,56.370,436.467,
2017-06-10,57.710,494.177,
2017-06-11,59.168,553.345,
2017-06-12,50.775,604.120,
2017-06-13,56.708,660.828,
2017-06-14,43.103,703.931,
2017-06-15,40.092,744.023,
2017-06-16,17.270,761.293,
2017-06-17,33.861,795.154,
2017-06-18,50.156,845.310,
2017-06-19,27.411,872.721,
2017-06-20,52.741,925.462,
2017-06-21,47.932,973.394,
2017-06-22,29.781,1003.175,
2017-06-23,36.937,1040.112,
2017-06-24,55.291,1095.403,
2017-06-25,55.159,1150.562,
2017-06-26,52.455,1203.017,
2017-06-27,52.871,1255.888,
2017-06-28,56.995,1312.883,
2017-06-29,53.216,1366.099,
2017-06-30,57.259,1423.358,
2017-07-01,43.908,1467.266,
2017-07-02,43.724,1510.990,
2017-07-03,51.113,1562.103,
2017-07-04,49.830,1611.933,
2017-07-05,18.570,1630.503,
2017-07-06,16.533,1647.036,
2017-07-07,50.320,1697.356,
2017-07-08,50.788,1748.144,
2017-07-09,61.701,1809.845,
2017-07-10,53.952,1863.797,
2017-07-11,37.667,1901.464,
2017-07-12,32.969,1934.433,
2017-07-13,33.732,1968.165,
2017-07-14,22.076,1990.241,
2017-07-15,53.987,2044.228,
2017-07-16,52.013,2096.241,
2017-07-17,48.180,2144.421,
2017-07-18,54.025,2198.446,
2017-07-19,53.269,2251.715,
2017-07-20,49.661,2301.376,
2017-07-21,42.239,2343.615,
2017-07-22,28.070,2371.685,
2017-07-23,32.348,2404.033,
2017-07-24,51.656,2455.689,
2017-07-25,42.623,2498.312,
2017-07-26,50.303,2548.615,
2017-07-27,32.688,2581.303,
2017-07-28,14.153,2595.456,
2017-07-29,27.666,2623.122,
2017-07-30,61.291,2684.413,
2017-07-31,57.114,2741.527,
2017-08-01,49.295,2790.822,
2017-08-02,54.274,2845.096,
2017-08-03,50.618,2895.714,
2017-08-04,55.200,2950.914,
2017-08-05,51.686,3002.600,
2017-08-06,29.682,3032.282,
2017-08-07,11.772,3044.054,
2017-08-08,42.927,3086.981,
2017-08-09,60.038,3147.019,
2017-08-10,41.438,3188.457,
2017-08-11,24.454,3212.911,
2017-08-12,38.338,3251.249,
2017-08-13,52.083,3303.332,
2017-08-14,14.990,3318.322,
2017-08-15,16.189,3334.511,
2017-08-16,44.359,3378.870,
2017-08-17,47.172,3426.042,
2017-08-18,33.552,3459.594,
2017-08-19,53.735,3513.329,
2017-08-20,56.899,3570.228,
2017-08-21,43.968,3614.196,
2017-08-22,50.255,3664.451,
2017-08-23,47.893,3712.344,
2017-08-24,41.102,3753.446,
2017-08-25,48.393,3801.839,
2017-08-26,51.102,3852.941,
2017-08-27,39.444,3892.385,
2017-08-28,38.890,3931.275,
2017-08-29,5.691,3936.966,
2017-08-30,44.899,3981.865,
2017-08-31,43.500,4025.365,
2017-09-01,16.394,4041.759,
2017-09-02,7.617,4049.376,
2017-09-03,35.540,4084.916,
2017-09-04,55.168,4140.084,
2017-09-05,36.975,4177.059,
2017-09-06,5.753,4182.812,
2017-09-07,42.068,4224.880,
2017-09-08,44.124,4269.004,
2017-09-09,50.300,4319.304,
2017-09-10,47.846,4367.150,
2017-09-11,37.664,4404.814,
2017-09-12,28.419,4433.233,
2017-09-13,19.089,4452.322,
2017-09-14,30.502,4482.824,
2017-09-15,43.598,4526.422,
2017-09-16,39.832,4566.254,
2017-09-17,35.687,4601.941,
2017-09-18,37.521,4639.462,
2017-09-19,38.190,4677.652,
2017-09-20,48.121,4725.773,
2017-09-21,41.907,4767.680,
2017-09-22,30.245,4797.925,
2017-09-23,47.565,4845.490,
2017-09-24,44.090,4889.580,
2017-09-25,37.463,4927.043,
2017-09-26,36.541,4963.584,
2017-09-27,40.675,5004.259,
2017-09-28,45.131,5049.390,
2017-09-29,39.110,5088.500,
2017-09-30,34.581,5123.081,
2017-10-01,42.068,5165.149,
2017-10-02,39.920,5205.069,
2017-10-03,36.627,5241.696,
2017-10-04,36.666,5278.362,
2017-10-05,23.065,5301.427,
2017-10-06,27.329,5328.756,
2017-10-07,31.558,5360.314,
2017-10-08,11.671,5371.985,
2017-10-09,14.150,5386.135,
2017-10-10,22.926,5409.061,
2017-10-11,2.260,5411.321,
2017-10-12,2.689,5414.010,
2017-10-13,7.540,5421.550,
2017-10-14,14.342,5435.892,
2017-10-15,15.139,5451.031,
2017-10-16,20.500,5471.531,
2017-10-17,24.800,5496.331,
2017-10-18,23.112,5519.443,
2017-10-19,22.457,5541.900,
2017-10-20,22.035,5563.935,
2017-10-21,22.145,5586.080,
2017-10-22,20.354,5606.434,
2017-10-23,13.168,5619.602,
2017-10-24,16.757,5636.359,
2017-10-25,20.112,5656.471,
2017-10-26,20.333,5676.804,
2017-10-27,18.792,5695.596,
2017-10-28,18.263,5713.859,
2017-10-29,3.432,5717.291,
2017-10-30,20.387,5737.678,
2017-10-31,18.585,5756.263,
2017-11-01,7.596,5763.859,
2017-11-02,18.457,5782.316,
2017-11-03,11.730,5794.046,
2017-11-04,17.488,5811.534,
2017-11-05,4.872,5816.406,
2017-11-06,12.706,5829.112,
2017-11-07,2.216,5831.328,
2017-11-08,11.300,5842.628,
2017-11-09,6.058,5848.686,
2017-11-10,14.789,5863.475,
2017-11-11,17.620,5881.095,
2017-11-12,14.394,5895.489,
2017-11-13,13.590,5909.079,
2017-11-14,10.549,5919.628,
2017-11-15,14.268,5933.896,
2017-11-16,10.515,5944.411,
2017-11-17,13.151,5957.562,
2017-11-18,6.432,5963.994,
2017-11-19,13.022,5977.016,
2017-11-20,11.760,5988.776,
2017-11-21,14.438,6003.214,
2017-11-22,10.485,6013.699,
2017-11-23,11.117,6024.816,
2017-11-24,10.436,6035.252,
2017-11-25,12.365,6047.617,
2017-11-26,11.556,6059.173,
2017-11-27,10.725,6069.898,
2017-11-28,9.635,6079.533,
2017-11-29,10.198,6089.731,
2017-11-30,10.908,6100.639,
2017-12-01,10.492,6111.131,
