"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-03-26",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-03-27",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-03-28",,,,,"0.21",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-03-29",,,,,"0.16",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-03-30",,,,,"0.01",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-03-31",,,,,"0.06",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-01",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-02",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-03",,,,,"0.28",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-04",,,,,"0.02",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-05",,,,,"0.02",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-06",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-07",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1VALD0030","PURCELLVILLE 3.5 SW, VA US","39.097665","-77.749815","160.9","2018-04-08",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,
